Sale_Price,No of Bedrooms,No of Bathrooms,No of Floors,Flat Area (in Sqft),Lot Area (in Sqft),Age of House (in Years),Area of the House from Basement (in Sqft),Basement Area (in Sqft),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),No of Times Visited,Overall Grade,Year since Renovation,Waterfront_view_Yes,Ever_Renovated_Yes,House_conditions_Fair,House_conditions_Okay,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9
1129743.75,3,2.75,1,3050,19158.125,50,2330,720,47.5316,-122.233,3665,17561.25,4,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0
285000,5,2.5,2,2270,6300,23,2270,0,47.3266,-122.169,2240,7005,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0
252700,2,1.5,1,1070,9643,33,1070,0,47.3533,-122.166,1220,8386,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
329000,3,2.25,2,2450,6500,33,2450,0,47.3739,-122.172,2200,6865,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
233000,3,2,1.5,1710,4697,77,1710,0,47.3048,-122.218,1030,4705,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937000,3,1.75,2,2450,2691,103,1750,700,47.6386,-122.36,1760,3573,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0
667000,3,1,1.5,1400,1581,109,1400,0,47.6221,-122.314,1860,3861,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
438000,3,1.75,1,1520,6380,70,790,730,47.695,-122.304,1520,6235,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
719000,4,2.5,2,2570,7173,13,2570,0,47.7073,-122.11,2630,6026,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
580500,3,2.5,2,2320,3980,15,2320,0,47.5391,-122.07,2580,3980,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
280000,2,1.5,3,1190,1265,13,1190,0,47.7274,-122.357,1390,1756,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
687500,4,1.75,1.5,2330,5000,89,1510,820,47.6823,-122.368,1460,5000,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
535000,3,1,1.5,1090,3000,89,1090,0,47.6889,-122.375,1570,5080,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
322500,4,2.75,1,2060,6659,37,1280,780,47.4276,-122.157,2020,8720,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
696000,3,2.5,1.5,2300,3060,88,1510,790,47.6827,-122.31,1590,3264,0,8,15,0,1,1,0,0,0,0,1,0,0,0,0,0
550000,4,1,1,1660,19158.125,85,930,730,47.6621,-122.132,2160,11467,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0
640000,4,2,2,2360,6000,114,2360,0,47.6702,-122.362,1730,4700,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
240000,4,1,1,1220,8075,49,890,330,47.3341,-122.282,1290,7800,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
605000,4,2.5,2,2620,7553,22,2620,0,47.5301,-122.18,2620,11884,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
625000,4,2.5,2,2570,5520,18,2570,0,47.6145,-122.027,2470,5669,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
775000,4,2.25,1,4220,19158.125,34,2600,1400,47.445,-122.347,2410,17561.25,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
861990,5,2.75,2,3595,5639,4,3595,0,47.6848,-122.016,3625,5639,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
685000,3,1,2,1570,2280,96,1570,0,47.6413,-122.364,1580,2640,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0
309000,3,1,1,1280,9656,59,920,360,47.4485,-122.175,1340,8808,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0
488000,3,2.5,2,3160,13603,15,3160,0,47.7443,-121.977,3050,9232,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
210490,3,1,1,990,8528,52,990,0,47.3066,-122.371,1228,8840,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
785000,4,2.5,2,2290,13416,37,2290,0,47.6194,-122.151,2680,13685,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
450000,3,1.75,1,1250,5963,65,1250,0,47.6796,-122.301,970,5100,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1129743.75,3,2.5,1,2753,19158.125,65,2165,588,47.4041,-122.451,2680,17561.25,2,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0
228000,3,1,1,1190,9199,63,1190,0,47.4258,-122.322,1190,9364,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
345000,5,2.5,1,3150,9134,52,1640,1400,47.4934,-122.189,1990,9133,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
600000,3,1.75,1,1410,4080,68,1000,410,47.6808,-122.384,1410,4080,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
585000,2,1.75,1,1980,8550,37,990,990,47.6989,-122.369,1480,6738,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
920000,5,2.25,1.5,2730,6000,91,2130,600,47.6571,-122.281,2730,6000,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0
885000,4,2.5,2,2830,5000,23,2830,0,47.6597,-122.29,1950,5000,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
292500,4,2.5,2,2250,4495,10,2250,0,47.3663,-122.114,2250,4500,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
301000,3,2.5,2,2420,4750,15,2420,0,47.3663,-122.122,2690,4750,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
951000,5,3.25,2,3250,14342,50,3250,0,47.588,-122.116,2960,11044,4,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
430000,4,3,2,1850,9976,27,1850,0,47.5059,-122.149,2270,8542,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
650000,3,2.25,1,2150,19158.125,59,1590,560,47.4336,-122.339,2570,17561.25,3,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
289000,3,1.75,1,1260,8400,64,1260,0,47.4366,-122.335,1290,8750,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
505000,3,1.75,2,2519,8690,45,2519,0,47.4428,-122.344,2500,9500,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
549000,3,1.75,3,1540,1044,4,1540,0,47.6765,-122.32,1580,3090,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
425000,3,2.25,1,1660,6000,39,1110,550,47.6113,-122.297,1440,4080,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
317625,3,2.75,1.5,2770,3809,93,1770,1000,47.5747,-122.304,1440,4000,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
975000,4,2.5,2,2720,11049,29,2720,0,47.5815,-122.192,2750,11049,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0
287000,4,2.5,2,2240,4648,13,2240,0,47.3378,-122.257,2221,4557,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
204000,3,1,1,1000,12070,50,1000,0,47.3621,-122.11,1010,12635,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1129743.75,5,2.25,1,3200,19158.125,53,1600,1400,47.6303,-122.215,3390,17561.25,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1040000,5,3.25,1,4230,19158.125,45,3070,1400,47.6525,-122.16,3530,17561.25,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0
325000,3,2,1,1260,5612,46,1260,0,47.7362,-122.179,1640,4745,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
571000,4,2,1.5,2750,7807,102,2250,500,47.7168,-122.287,1510,7807,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
360000,4,2.5,2,2380,5000,13,2380,0,47.3608,-122.036,2420,5000,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0
349000,3,1.75,1,1790,19158.125,53,1090,700,47.3511,-122.073,1940,17561.25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832500,4,3.625,2,3430,19158.125,32,2390,1040,47.5822,-121.987,3240,17561.25,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0
380000,4,1.75,1,1760,7300,62,880,880,47.6034,-122.125,1680,7500,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
480000,3,1,1,1040,5060,77,1040,0,47.5636,-122.394,890,5060,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
410000,3,1,1,1410,5060,62,910,500,47.7073,-122.34,1130,5693,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
720000,4,2.5,2,3450,19158.125,16,3450,0,47.342,-122.025,3350,17561.25,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0
390000,3,2.5,2,2350,5100,15,2350,0,47.3512,-122.008,2350,5363,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0
360000,4,2.5,2,1900,5889,26,1900,0,47.349,-122.031,1870,6405,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
355000,2,1,1,2020,6720,70,1010,1010,47.5474,-122.291,1720,6720,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0
356000,3,1.5,1,1680,8712,54,1680,0,47.4811,-122.149,1850,8797,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
315000,3,1,1,960,6634,66,960,0,47.7264,-122.31,1570,7203,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0
940000,3,1.5,2,2140,3600,93,1900,240,47.6337,-122.365,2020,4800,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
305000,5,2.25,1.5,2660,8400,57,2660,0,47.2909,-122.189,1590,8165,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
461000,3,3.25,2,2770,6278,12,1980,790,47.5228,-122.199,1900,7349,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0
215000,2,2.25,2,1610,2040,39,1610,0,47.518,-122.194,1950,2025,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0
335000,2,1.75,2,1030,1066,12,765,265,47.5394,-122.387,1030,1106,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1100000,5,2.75,2,3520,6353,17,3520,0,47.6506,-122.391,2520,6250,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0
153000,3,1,1,1200,10500,56,1200,0,47.322,-122.351,1350,10500,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
430000,3,1.5,1,1580,5000,79,1290,290,47.687,-122.386,1570,4500,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
700000,3,1.5,1,1580,5000,79,1290,290,47.687,-122.386,1570,4500,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
905000,4,2.5,1,3300,10250,72,2390,910,47.5873,-122.249,1950,6045,0,7,26,0,1,1,0,0,0,0,0,0,0,0,1,0
247500,3,1.75,1,1960,15681,51,1960,0,47.3576,-122.277,1750,15616,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
199000,4,1.5,1,1160,6400,43,1160,0,47.3036,-122.378,1160,6400,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
314000,3,1.75,1,1810,19158.125,38,1210,600,47.4109,-121.958,1650,17561.25,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
437500,3,2.5,2,2320,19158.125,26,2320,0,47.4838,-121.8205,2550,17561.25,2,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0
850830,3,2.5,1.5,2070,13241,108,1270,800,47.6415,-122.315,2200,4500,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
555000,3,2,1.5,1980,3478,89,1440,540,47.6775,-122.372,1610,3478,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
699950,3,2.25,2,2190,19158.125,35,2190,0,47.7731,-122.08,2570,17561.25,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1090000,3,2.5,2,2920,8113,68,2920,0,47.5814,-122.196,2370,8113,0,8,7,0,1,1,0,0,0,0,0,0,0,0,1,0
290000,3,1,1,1210,19158.125,64,1210,0,47.4375,-122.184,1640,14910,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
375000,3,2.5,1,2340,10005,40,1460,880,47.4431,-122.133,2250,8162,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0
460000,3,1,1.5,1670,4005,79,1170,500,47.6878,-122.38,1240,4005,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
188500,2,1.75,1,1240,2493,33,1240,0,47.3813,-122.322,1270,4966,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
680000,4,2.5,2,3140,19158.125,27,3140,0,47.7304,-122.082,2990,17561.25,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0
470000,5,1.75,2,2030,12342,76,2030,0,47.6417,-122.109,2500,9433,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
597750,4,2.5,2,2310,9624,34,2310,0,47.5386,-122.053,1940,9636,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
570000,3,1.75,1,1260,3328,113,700,560,47.6823,-122.349,1380,3536,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
272500,3,1.75,1,1540,12600,38,1160,380,47.3624,-122.031,1540,11656,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
329950,3,1.75,1,2080,5969,47,1080,1000,47.5474,-122.295,2090,5500,2,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
480000,4,2.5,2,3230,16171,17,2520,710,47.3183,-122.253,2640,8517,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
740500,3,3.5,2,4230,6350,118,2780,1400,47.6981,-122.368,1830,6350,0,8,18,0,1,1,0,0,0,1,0,0,0,0,0,0
518500,3,3.5,3,1590,1102,8,1590,0,47.6824,-122.347,1620,3166,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
205425,2,1,1,880,6780,73,880,0,47.5009,-122.248,1190,6780,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171800,4,2,1,1570,9600,68,1570,0,47.4965,-122.303,1880,9000,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
535000,4,1,1.5,1610,2982,93,1610,0,47.587,-122.294,1610,4040,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
660000,3,2.5,1,2400,6474,54,1560,840,47.7728,-122.386,2340,10856,2,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
391500,3,2,1,1450,9132,31,1450,0,47.7288,-122.226,1580,9104,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
395000,2,1,1,770,6000,65,770,0,47.6999,-122.364,1710,6000,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0
445000,4,1.75,1.5,2100,4400,94,1720,380,47.5299,-122.266,1850,4400,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
770000,3,2.25,2,2910,10204,28,2910,0,47.6897,-122.098,2700,13992,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1129743.75,4,2.75,1.5,2750,17789,104,1980,770,47.6141,-122.212,3060,11275,0,8,24,0,1,1,0,0,0,0,0,0,0,0,1,0
445000,3,2.25,1,2100,8201,51,1620,480,47.5091,-122.244,2660,8712,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
260000,4,2.25,1,2160,8811,40,1360,800,47.3129,-122.39,2090,8400,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
822500,5,3.5,2,2320,4960,92,1720,600,47.6763,-122.352,1700,4960,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
430000,4,2.5,2,2070,4310,14,2070,0,47.5319,-121.85,1970,3748,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
212000,3,1.75,1,1060,7875,32,1060,0,47.2761,-122.152,1420,7680,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
660500,4,2.25,1,2010,9603,32,1440,570,47.5343,-122.054,2060,9793,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
784000,3,3.5,1.5,3950,19158.125,29,2460,1400,47.697,-122.072,2480,17561.25,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
453246,3,2.5,2,2010,2287,4,1390,620,47.5517,-121.998,1690,1662,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
675000,4,3.5,3,2140,2278,13,2140,0,47.6734,-122.38,1540,2285,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0
199000,3,1.75,1,1320,17390,62,1320,0,47.3257,-122.296,1550,17561.25,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220000,4,1.75,1,2020,7840,50,1010,1010,47.3309,-122.299,1750,8140,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
452000,4,2.25,1,2590,10002,50,1340,1250,47.7689,-122.266,1550,10436,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
382500,2,1,1,1190,4440,37,1190,0,47.7135,-122.287,1060,5715,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0
519950,3,2.25,3,1170,1249,4,1170,0,47.6722,-122.381,1350,1310,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
665000,2,1,1,1110,3200,93,1110,0,47.6338,-122.358,1170,3600,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0
527700,5,2.5,1,2820,9375,50,1550,1270,47.5707,-122.128,2820,9375,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0
205000,3,1,1,1610,8579,56,1010,600,47.4563,-122.171,1610,8579,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
420000,3,1,1,1060,8097,95,940,120,47.7144,-122.351,1560,7940,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
500000,4,2.25,1,2030,8517,57,1380,650,47.5495,-122.174,2230,8824,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0
921500,4,2.5,2,3670,19158.125,24,3670,0,47.7421,-122.026,2840,17561.25,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0
890000,4,1,2,2550,4000,113,2370,180,47.6354,-122.353,2200,4000,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0
430000,2,2.5,2,2420,19158.125,11,2420,0,47.5262,-121.943,1940,17561.25,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
258000,5,2,1,2260,12500,58,1130,1130,47.3887,-122.286,1360,17561.25,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
511000,3,1,1,1430,3455,71,980,450,47.6873,-122.336,1450,4599,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
532170,3,2,2,1360,3090,28,1360,0,47.6838,-122.353,1500,3090,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
560000,3,1,1.5,1110,5000,71,1110,0,47.655,-122.359,1420,5000,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
282950,3,1,1,1250,8200,64,1250,0,47.3255,-122.304,1680,8633,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1129743.75,4,3.25,2,4230,19158.125,12,3540,1400,47.562,-122.162,3160,9750,3,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0
350000,1.5,1,1,700,5100,76,700,0,47.679,-122.3,1010,5100,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
215000,3,1,1,1180,7669,51,1180,0,47.4479,-122.176,1190,7669,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
650000,5,3.5,2,3960,19158.125,22,2500,1400,47.525,-122.172,2640,13675,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0
320000,4,2.75,1,2640,7500,51,1620,1020,47.3135,-122.369,1980,7875,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
247000,3,2,1.5,1270,7198,102,1270,0,47.2086,-121.996,1160,7198,0,7,4,0,1,1,0,0,0,0,0,0,0,0,0,0
320000,4,1.75,1,1760,11180,50,1760,0,47.4715,-122.118,1730,11180,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
255000,5,2.25,1,2060,8632,56,1030,1030,47.4877,-122.335,1010,11680,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
438000,3,1.75,1,1780,9660,56,1780,0,47.7171,-122.193,1200,9660,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
900000,3,2.5,2,3400,16603,18,3400,0,47.6012,-122.023,3400,12601,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0
441000,3,2.75,1,1910,7280,39,1160,750,47.7319,-122.224,1710,8152,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
420000,3,2,1,2020,19158.125,43,1010,1010,47.4582,-122.023,2110,17561.25,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
370000,3,1.75,1,1580,7000,42,1180,400,47.7209,-122.168,1640,7500,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
269950,2,1.75,1,1340,7250,69,700,640,47.408,-122.327,1830,9750,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807100,4,2.5,2,2680,4499,19,2680,0,47.565,-122.125,2920,4500,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
371500,3,2,1,1370,8336,54,1370,0,47.7458,-122.331,1770,7288,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
284000,3,1.75,1,1560,19158.125,64,1560,0,47.4776,-122.337,1070,7920,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0
272000,3,1.75,1,2160,7140,40,1670,490,47.3026,-122.374,1930,7350,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
313000,3,1.5,1.5,1340,7912,63,1340,0,47.7658,-122.339,1480,7940,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
917500,4,2.5,2,3880,19158.125,34,2570,1310,47.6477,-122.182,3665,17561.25,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0
673000,4,2.25,2,2590,8190,38,2590,0,47.5619,-122.125,2260,8335,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0
425000,3,2.5,2,1120,1100,10,820,300,47.6106,-122.31,1590,1795,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
399950,5,2.75,1,1970,5400,32,1320,650,47.5868,-122.308,1280,2150,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
385000,3,1,1,1220,4800,117,1220,0,47.6101,-122.307,1200,4800,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0
269950,3,1.5,1,1950,7560,43,1320,630,47.1976,-121.999,1950,8941,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
330000,2,1,1,1350,8220,69,1060,290,47.7224,-122.358,1540,8280,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
260000,3,2.5,2,1670,5797,30,1670,0,47.3505,-122.179,1670,6183,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
470000,4,3,1.5,2380,5125,93,1680,700,47.5384,-122.376,1410,5375,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0
589000,4,3,2,2440,9600,57,2440,0,47.7044,-122.2,2290,9600,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163500,2,1.5,2,1050,3419,22,1050,0,47.3848,-122.039,1050,3417,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0
835000,4,2.75,2,3130,13412,25,2140,990,47.6993,-122.102,2260,9984,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
